InpStartHour,InpEndHour,InpEndMinute,InpFvgMaxAgeBars,InpRiskPercent,total_trades,win_rate,profit_factor,max_drawdown,max_consecutive_losses,sharpe_ratio
11.0,14.0,42.0,3.0,0.3074,16,0.1875,0.43,0.0304,6,-2.7
8.0,7.0,19.0,1.0,0.5211,0,0.0,0.0,1.0,0,0.0
8.0,14.0,31.0,3.0,0.4863,25,0.44,1.56,0.0193,4,5.69
10.0,7.0,23.0,2.0,0.716,0,0.0,0.0,1.0,0,0.0
11.0,11.0,40.0,3.0,0.5841,3,0.3333,0.95,0.0059,1,-0.02
4.0,10.0,19.0,1.0,0.3682,0,0.0,0.0,1.0,0,0.0
5.0,12.0,28.0,2.0,0.2577,20,0.3,0.85,0.0179,5,-1.68
12.0,9.0,36.0,3.0,0.5398,0,0.0,0.0,1.0,0,0.0
9.0,15.0,20.0,2.0,0.66,16,0.4375,1.55,0.0196,3,3.3
7.0,6.0,43.0,4.0,0.3876,0,0.0,0.0,1.0,0,0.0
7.0,11.0,22.0,3.0,0.7435,33,0.3333,0.98,0.0378,5,-0.29
9.0,10.0,44.0,2.0,0.4594,4,0.5,2.0,0.0092,2,0.57
13.0,14.0,27.0,4.0,0.3413,6,0.8333,9.82,0.0034,1,0.98
6.0,7.0,34.0,2.0,0.6116,7,0.2857,0.79,0.0184,3,-0.44
5.0,16.0,38.0,2.0,0.5124,39,0.3333,0.95,0.0353,7,-0.43
12.0,5.0,17.0,4.0,0.2848,0,0.0,0.0,1.0,0,0.0
10.0,13.0,33.0,1.0,0.4146,0,0.0,0.0,1.0,0,0.0
8.0,8.0,25.0,3.0,0.6326,6,0.3333,0.99,0.0126,2,-0.02
8.0,13.0,21.0,2.0,0.5528,14,0.1429,0.33,0.0434,4,-5.0
10.0,8.0,44.0,3.0,0.2746,0,0.0,0.0,1.0,0,0.0
12.0,16.0,28.0,1.0,0.3928,0,0.0,0.0,1.0,0,0.0
5.0,5.0,35.0,3.0,0.6846,1,1.0,0.0,0.0,0,0.33
6.0,14.0,38.0,3.0,0.6913,44,0.3182,0.92,0.0993,9,-0.9
13.0,7.0,15.0,2.0,0.4812,0,0.0,0.0,1.0,0,0.0
9.0,11.0,33.0,4.0,0.3513,11,0.2727,0.75,0.0106,3,-0.78
7.0,10.0,26.0,2.0,0.5712,14,0.2143,0.54,0.0286,4,-5.0
7.0,15.0,31.0,1.0,0.3099,0,0.0,0.0,1.0,0,0.0
9.0,6.0,24.0,3.0,0.5181,0,0.0,0.0,1.0,0,0.0
12.0,12.0,40.0,2.0,0.6499,3,0.6667,3.89,0.0066,1,0.52
5.0,9.0,17.0,4.0,0.4281,28,0.4286,1.49,0.0128,3,6.87
4.0,11.0,30.0,3.0,0.446,35,0.3143,0.91,0.0482,10,-1.37
11.0,10.0,37.0,2.0,0.7261,0,0.0,0.0,1.0,0,0.0
10.0,14.0,19.0,3.0,0.6061,16,0.5625,2.5,0.012,2,4.7
8.0,7.0,42.0,1.0,0.3161,0,0.0,0.0,1.0,0,0.0
8.0,14.0,23.0,4.0,0.6603,29,0.4138,1.39,0.0264,4,3.62
11.0,7.0,31.0,2.0,0.3858,0,0.0,0.0,1.0,0,0.0
11.0,12.0,19.0,3.0,0.25,4,0.5,1.99,0.0025,1,0.37
4.0,9.0,41.0,2.0,0.5461,29,0.2759,0.75,0.069,9,-4.47
5.0,12.0,36.0,1.0,0.5799,0,0.0,0.0,1.0,0,0.0
12.0,9.0,28.0,3.0,0.3739,0,0.0,0.0,1.0,0,0.0
10.0,15.0,43.0,2.0,0.4901,27,0.3333,0.98,0.0345,5,-0.23
7.0,6.0,20.0,3.0,0.7136,0,0.0,0.0,1.0,0,0.0
6.0,11.0,44.0,3.0,0.4214,26,0.3846,1.24,0.025,6,2.66
9.0,10.0,22.0,1.0,0.6253,0,0.0,0.0,1.0,0,0.0
13.0,13.0,34.0,4.0,0.5111,1,0.0,0.0,0.0051,1,-0.25
6.0,8.0,27.0,2.0,0.2856,17,0.2941,0.83,0.0199,5,-2.15
5.0,16.0,17.0,2.0,0.3385,46,0.3913,1.26,0.0172,5,3.23
12.0,5.0,39.0,4.0,0.615,0,0.0,0.0,1.0,0,0.0
10.0,13.0,25.0,2.0,0.7487,14,0.4286,1.47,0.0223,3,1.47
7.0,8.0,33.0,3.0,0.4547,6,0.1667,0.39,0.0226,5,-1.39
8.0,16.0,40.0,3.0,0.5691,38,0.4474,1.6,0.0501,6,5.41
10.0,5.0,17.0,2.0,0.3534,0,0.0,0.0,1.0,0,0.0
11.0,13.0,32.0,3.0,0.4716,16,0.375,1.17,0.0238,5,0.94
5.0,8.0,24.0,1.0,0.7009,0,0.0,0.0,1.0,0,0.0
6.0,11.0,20.0,2.0,0.6749,18,0.1667,0.39,0.0598,8,-5.0
13.0,10.0,41.0,3.0,0.4024,0,0.0,0.0,1.0,0,0.0
9.0,14.0,29.0,2.0,0.2725,21,0.4762,1.79,0.0217,8,8.9
6.0,7.0,37.0,4.0,0.5549,10,0.3,0.85,0.0275,4,-0.57
7.0,12.0,27.0,3.0,0.3257,33,0.3333,0.98,0.0258,8,-0.25
9.0,9.0,35.0,1.0,0.5964,0,0.0,0.0,1.0,0,0.0
12.0,15.0,22.0,4.0,0.7282,11,0.4545,1.65,0.0217,3,1.72
6.0,6.0,43.0,2.0,0.4439,5,0.2,0.5,0.0089,2,-0.71
5.0,15.0,33.0,2.0,0.4302,39,0.2308,0.59,0.0755,18,-5.0
11.0,7.0,26.0,4.0,0.6478,0,0.0,0.0,1.0,0,0.0
10.0,11.0,38.0,1.0,0.5277,0,0.0,0.0,1.0,0,0.0
8.0,9.0,16.0,3.0,0.3002,8,0.125,0.29,0.0209,7,-1.72
8.0,12.0,34.0,2.0,0.7079,17,0.3529,1.04,0.0433,4,0.22
10.0,9.0,27.0,4.0,0.4959,0,0.0,0.0,1.0,0,0.0
11.0,14.0,45.0,2.0,0.3601,11,0.3636,1.11,0.0148,4,0.24
4.0,7.0,22.0,3.0,0.5937,17,0.1765,0.42,0.08,14,-5.0
5.0,15.0,25.0,3.0,0.5323,35,0.4,1.32,0.0267,4,4.41
12.0,6.0,32.0,1.0,0.2638,0,0.0,0.0,1.0,0,0.0
9.0,13.0,16.0,3.0,0.3801,22,0.3182,0.92,0.019,4,-0.63
7.0,8.0,39.0,2.0,0.666,10,0.2,0.5,0.0266,4,-2.56
7.0,13.0,18.0,1.0,0.4685,0,0.0,0.0,1.0,0,0.0
9.0,7.0,41.0,3.0,0.7349,0,0.0,0.0,1.0,0,0.0
13.0,11.0,23.0,2.0,0.6207,0,0.0,0.0,1.0,0,0.0
